yrplot.id
1998_1_25_918
1998_1_33_1900
1999_1_27_1444
1998_1_13_897
1999_1_35_909
1999_1_39_883
1998_1_91_1151
1998_1_31_893
1999_1_41_900
1999_1_113_1118
1998_1_125_1485
1998_1_31_872
1999_1_25_932
1998_1_113_1113
1999_1_111_1441
1999_1_21_1147
1999_1_97_702
1998_1_125_1500
1998_1_17_1126
1999_1_35_915
1999_1_125_1480
1999_1_131_923
1999_1_103_1870
1998_1_47_1158
1998_1_111_1445
1999_1_101_1135
1999_1_77_1905
1999_1_5_882
2002_4_5_89500
2007_4_5_82457
2005_4_5_87890
2004_4_17_83216
2008_4_17_84880
2001_4_9_88113
9999_4_1_83218
2002_4_5_85004
2008_4_7_89828
2001_4_5_87964
9999_4_5_86359
2005_4_9_90659
2002_4_5_91412
2008_4_7_87940
2001_4_5_88261
9999_4_1_85994
9999_4_21_91325
9999_4_25_81788
2005_4_1_84094
2001_4_25_91353
2001_4_15_88094
9999_4_15_85126
2004_4_1_89182
2002_4_9_83278
9999_4_5_80430
2001_4_7_85493
9999_4_5_85407
2004_4_25_87269
2001_4_5_84374
2004_4_7_81086
2005_4_19_86616
2003_4_23_83039
2001_4_3_90520
2005_4_5_83485
2002_4_5_84303
2001_4_21_90533
2002_4_3_91124
2008_4_15_83665
9999_4_11_83456
9999_4_17_82477
2008_4_17_84813
2005_4_25_84869
2004_4_25_82651
2007_4_15_91572
2008_4_1_87966
2007_4_23_91754
2004_4_1_84741
2001_4_7_86756
2004_4_15_83664
9999_4_17_81759
2008_4_25_87557
9999_4_19_83822
9999_4_1_85977
2007_4_3_81969
2005_4_9_80568
2008_4_17_89926
9999_4_19_85432
2002_4_3_81393
2003_4_17_88082
9999_4_15_91552
9999_4_25_89701
2002_4_7_91013
2003_4_5_80851
2001_4_3_90434
2007_4_11_81078
2007_4_9_87353
9999_4_1_91843
2007_4_25_86847
2002_4_9_88474
2007_4_1_90173
2009_4_1_83320
9999_4_5_84622
9999_4_1_87308
2002_4_7_90125
2003_4_25_89561
9999_4_5_90084
2008_4_3_84483
9999_4_5_85848
2004_4_7_89014
2008_4_5_84749
9999_4_5_84274
2001_4_7_83550
2008_4_7_83683
2004_4_1_89027
9999_4_25_83930
2005_4_5_82818
9999_4_19_81540
2003_6_109_54060
2003_6_35_59646
2003_6_89_61348
2003_6_107_99560
2003_6_49_56740
2003_6_43_86819
2003_6_23_64832
2003_6_49_87533
2003_6_103_78591
2003_6_105_96753
2003_6_55_81647
2003_6_15_93540
2003_6_5_94957
2003_6_7_99584
2003_6_97_54959
2003_6_23_88792
2003_6_35_93229
2003_6_29_82750
2003_6_93_82331
2003_6_105_64847
2003_6_33_75816
2003_8_103_88420
2002_8_93_84284
2008_8_109_84802
9999_8_97_84120
2003_8_83_80619
2002_8_69_81830
2008_8_103_90749
2003_8_29_81039
2003_8_119_88905
2007_8_79_87499
9999_8_51_87927
9999_8_35_85101
9999_8_51_86782
2004_8_85_87170
9999_8_103_88230
2002_8_45_87821
9999_8_35_87774
2002_8_93_85930
2002_8_27_81879
2002_8_11_90408
2003_8_69_84803
2008_8_51_87854
